"ACTV_COUNT","DS_NAME","DT_WID","ROW_WID","YR_MTH","ACCNT_NAME","LEGACY_ACC","WU_EMAIL","USER_NAME","WU_LOGIN_ID"
1,"UNI",20181031,6364880463,"2018 / 10","CMS Cameron McKenna Nabarro Olswang LLP","CAME5023","Unspecified","dasg dasg","DASG@473952"
1,"UNI",20181031,6364880685,"2018 / 10","CMS Cameron McKenna Nabarro Olswang LLP","CAME5023","Unspecified","dasg dasg","DASG@473952"
1,"CHB",20181031,6475967218,"2018 / 10","CMS Cameron McKenna Nabarro Olswang LLP","CAME5023","Unspecified","dasg dasg","DASG@473952"
2,"UNI",20181101,6365044159,"2018 / 11","CMS Cameron McKenna Nabarro Olswang LLP","CAME5023","Unspecified","dasg dasg","DASG@473952"
2,"CHB",20181101,6476111148,"2018 / 11","CMS Cameron McKenna Nabarro Olswang LLP","CAME5023","Unspecified","dasg dasg","DASG@473952"
1,"UNI",20181102,6365438933,"2018 / 11","CMS Cameron McKenna Nabarro Olswang LLP","CAME5023","Unspecified","dasg dasg","DASG@473952"
1,"CHB",20181102,6365634121,"2018 / 11","CMS Cameron McKenna Nabarro Olswang LLP","CAME5023","Unspecified","dasg dasg","DASG@473952"
1,"CHB",20181102,6365634273,"2018 / 11","CMS Cameron McKenna Nabarro Olswang LLP","CAME5023","Unspecified","dasg dasg","DASG@473952"
1,"CHB",20181102,6365634501,"2018 / 11","CMS Cameron McKenna Nabarro Olswang LLP","CAME5023","Unspecified","dasg dasg","DASG@473952"
1,"CHB",20181102,6475732572,"2018 / 11","CMS Cameron McKenna Nabarro Olswang LLP","CAME5023","Unspecified","dasg dasg","DASG@473952"
1,"CHB",20181102,6476022941,"2018 / 11","CMS Cameron McKenna Nabarro Olswang LLP","CAME5023","Unspecified","dasg dasg","DASG@473952"
1,"CHB",20181102,6476065557,"2018 / 11","CMS Cameron McKenna Nabarro Olswang LLP","CAME5023","Unspecified","dasg dasg","DASG@473952"
3,"UNI",20181105,6365890376,"2018 / 11","CMS Cameron McKenna Nabarro Olswang LLP","CAME5023","Unspecified","dasg dasg","DASG@473952"
3,"CHB",20181105,6476026937,"2018 / 11","CMS Cameron McKenna Nabarro Olswang LLP","CAME5023","Unspecified","dasg dasg","DASG@473952"
1,"UNI",20181107,6366616197,"2018 / 11","CMS Cameron McKenna Nabarro Olswang LLP","CAME5023","Unspecified","dasg dasg","DASG@473952"
1,"CHB",20181107,6475959335,"2018 / 11","CMS Cameron McKenna Nabarro Olswang LLP","CAME5023","Unspecified","dasg dasg","DASG@473952"
